Region,Country of Nationality,Arrivals (in numbers),Business and Professional(%),Leisure Holiday and Recreation(%),Medical(%),Indian Diaspora(%),Others(%)
Eastern Europe,POLAND,33687,24.39,63.69,0.02,2.84,9.06
Eastern Europe,RUSSIAN FEDERATION,251319,7.83,84.8,0.12,1.08,6.18
Eastern Europe,UKRAINE,29468,13.57,57.69,0.29,2.98,25.47
Eastern Europe,OTHERS,103220,16.59,46.96,21.99,2.09,12.38
Eastern Europe,Total,456481,12.42,71.53,5.15,1.69,9.21
Africa,EGYPT,21538,31.27,16.62,0.71,2.58,48.83
Africa,KENYA,48639,8.88,22.41,14.2,14.63,39.89
Africa,MAURITIUS,46814,3.07,68.6,6.85,8.32,13.16
Africa,NIGERIA,14033,18.18,7.35,48.88,8.67,16.92
Africa,SOUTH AFRICA,57274,17.75,62.27,0.53,6.22,13.23
Africa,SUDAN,34003,56.22,5.11,25.85,2.72,10.1
Africa,UNITED REPUBLIC OF TANZAN,23774,17.91,22.9,20.68,11.18,27.32
Africa,OTHERS,116233,16.4,19.29,18.27,6.3,39.74
Africa,Total,362308,18.67,31.16,14.46,7.52,28.19
West Asia,BAHRAIN,15128,2.52,37.94,7.78,11.24,40.52
West Asia,IRAQ,61907,0.83,4.25,82.77,1.36,10.79
West Asia,ISRAEL,73137,23.02,69.54,0.03,1.06,6.35
West Asia,OMAN,74564,1.85,64.27,29.71,1.61,2.56
West Asia,SAUDI ARABIA,48526,6.66,55.82,7.75,1.96,27.81
West Asia,TURKEY,35113,32.85,23.58,1.1,0.81,41.66
West Asia,UNITED ARAB EMIRATES,55413,2.53,139.45,1.29,2.34,12.21
West Asia,YEMEN,26065,5.54,13.37,62.5,5.06,13.53
West Asia,OTHERS,42090,10.41,36.72,1.91,1.41,17.01
West Asia,Total,431943,9.89,50.44,22.38,2.03,15.26
South Asia,AFGHANISTAN,124120,8.26,50.01,26.19,6.11,9.43
South Asia,BANGLADESH,2577727,4.21,77.36,15.4,0.79,2.24
South Asia,BHUTAN,28178,0.03,0.23,0,0.04,99.71
South Asia,IRAN,33288,10.23,74.73,0.26,2.6,12.18
South Asia,MALDIVES,78587,1.57,0.35,9.15,0.98,87.95
South Asia,NEPAL,164040,0.04,0.77,0,0.06,99.13
South Asia,PAKISTAN,39018,4.28,27.11,2.39,0.43,65.8
South Asia,SRI LANKA,330861,21.65,63.68,1.21,3.4,10.06
South Asia,Total,3375819,5.83,68.25,13.08,1.22,11.62
South East Asia,INDONESIA,50177,19.8,59.2,0.45,3.91,16.63
South East Asia,MALAYSIA,334579,7.06,63.62,0.09,10.84,18.39
South East Asia,MYANMAR (BURMA),86842,5.45,82.28,4.47,1.11,6.68
South East Asia,PHILIPPINES,56393,19.76,30.74,0.55,3.08,45.88
South East Asia,SINGAPORE,190089,14.4,30.17,0.03,17.25,38.15
South East Asia,THAILAND,169956,10.17,71.9,0.02,2.12,15.79
South East Asia,VIETNAM,33636,12.92,77.33,0.01,1.03,8.7
South East Asia,OTHERS,8868,9.28,62.03,12.62,3.72,12.35
South East Asia,Total,930540,10.67,58.29,0.64,8.38,22.02
East Asia,CHINA,339442,45.43,43.26,0.04,1.57,9.71
East Asia,JAPAN,238903,59.6,31.52,0.01,1.53,7.33
East Asia,REPUBLIC OF KOREA,149445,49.79,37.12,0,2.06,11.03
East Asia,TAIWAN,48195,32.11,57.74,0.01,1.28,8.85
East Asia,OTHERS,6240,8.46,37.29,3.48,17.44,33.33
East Asia,Total,782225,49.48,39.35,0.05,1.76,9.37
Australasia,AUSTRALIA,367241,8.14,36.19,0.1,42.11,13.46
Australasia,NEW ZEALAND,65551,7.22,42.45,0.22,26.4,23.7
Australasia,OTHERS,6147,5.56,47.29,27.54,9.94,9.66
Australasia,Total,438939,7.97,37.28,0.5,39.32,14.93
Not Classified Elsewhere,Not Classified Elsewhere,10841,5.04,44.58,1.12,2.59,46.67
Grand Total,Grand Total,10930355,14.69,57.06,6.38,12.67,9.2
