Circle,Name of the Monument,Domestic-2019-20,Foreign-2019-20,Domestic-2020-21,Foreign-2020-21,% Growth 2021-21/2019-20-Domestic,% Growth 2021-21/2019-20-Foreign
Kolkata,Metcelf-Hall,605,27,7818,24,1192.23,-11.11
Kolkata,Total,155591,532,124925,261,-19.71,-50.94
Rajkot,"Asokan Rock Edict, Jungadh",6176,168,10498,16,69.98,-90.48
Rajkot,"Buddhish Caves, Junagadh",18755,796,58,0,-99.69,-100
Rajkot,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",5858,142,1691,1,-71.13,-99.3
Rajkot,Total,30789,1106,12247,17,-60.22,-98.46
Vadodara,"Champaner Monuments, Pavagadh",59402,1948,39014,81,-34.32,-95.84
Vadodara,"Sun temple, Modhera",208028,3732,85407,103,-58.94,-97.24
Vadodara,"Rani Ki-Vav, Patan",337134,3816,96900,143,-71.26,-96.25
Vadodara,"Rudabai Step Well, Adalaj",388042,7907,86840,204,-77.62,-97.42
Vadodara,Total,992606,17403,308161,531,-68.95,-96.95
Bhubaneswar,"Sun Temple, Konark",1997427,5294,530886,142,-73.42,-97.32
Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,311115,2489,73727,57,-76.3,-97.71
Bhubaneswar,Rajarani Temple,16916,506,8237,3,-51.31,-99.41
Bhubaneswar,The Hill Containing Many Valuable Sculptures and Images Ratnagiri,34562,571,20616,20,-40.35,-96.5
Bhubaneswar,Ruins of Buddhist Temples and Images lalitgiri,44573,389,18359,8,-58.81,-97.94
Bhubaneswar,Total,2404593,9249,651825,230,-72.89,-97.51
Aurangabad,Ajanta Caves,273344,15899,47554,82,-82.6,-99.48
Aurangabad,Ellora Caves,1259261,21426,163313,159,-87.03,-99.26
Aurangabad,Tomb of Rabia Durani (Bibi ka Maqbara),1111778,9530,203791,100,-81.67,-98.95
Aurangabad,Daulatabad Fort,515935,5729,105434,49,-79.56,-99.14
Aurangabad,Pandulena Caves,202871,1128,29,0,-99.99,-100
Aurangabad,Aurangabad Caves,182032,2690,34976,19,-80.79,-99.29
Aurangabad,Total,3545221,56402,555097,409,-84.34,-99.27
Mumbai,Elephanta Caves,686862,37891,82136,281,-88.04,-99.26
Mumbai,Buddhist Caves Kanheri,401808,12106,213,0,-99.95,-100
Mumbai,Shaniwarwada,1128072,8505,160547,87,-85.77,-98.98
Mumbai,Aga  Khan Palace Building,219939,9264,18963,55,-91.38,-99.41
Mumbai,"Cave, Temple and Inscriptions, Junaar, Lenyadri",354946,105,73899,6,-79.18,-94.29
Mumbai,"Caves, Temples and inscriptions Karla",219758,2068,51045,21,-76.77,-98.98
Mumbai,"Cave Temple & Inscriptions, Bhaja",80319,1872,10976,24,-86.33,-98.72
Mumbai,Raigad Fort,218338,82,76438,0,-64.99,-100
Mumbai,"Kolaba Fort, Alibag",112405,112,50421,12,-55.14,-89.29
Mumbai,"Old Fort, Sholapur",62238,45,11293,1,-81.86,-97.78
Mumbai,"Janjira Fort, Murd",253315,151,149221,7,-41.09,-95.36
Mumbai,Kondiote Caves,41490,591,167,0,-99.6,-100
Mumbai,Lohgad Fort,161651,579,31042,21,-80.8,-96.37
Mumbai,Total,3941141,73371,716361,515,-81.82,-99.3
Nagpur,Gawilgarh Fort,43795,11,5,0,-99.99,-100
Nagpur,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",1596,65,8,0,-99.5,-100
Nagpur,Total,45391,76,13,0,-99.97,-100
Chandigarh,Suraj Kund,91447,72,11132,14,-87.83,-80.56
Chandigarh,Sheikh Chilli's Tomb,39763,46,30292,75,-23.82,63.04
Chandigarh,Total,131210,118,41424,89,-68.43,-24.58
Delhi,Khan-I-Khana,1782,45,3002,10,68.46,-77.78
Delhi,Sultanghari Tomb,530,6,22969,233,4233.77,3783.33
Delhi,Tughluqabad,76135,908,12856,109,-83.11,-88
Delhi,Red Fort,2200044,91364,187380,1438,-91.48,-98.43
Delhi,Humayun Tomb,658318,202288,243836,2381,-62.96,-98.82
Delhi,Qutub Minar,2048146,255318,476063,2849,-76.76,-98.88
Delhi,Hauzkhas,145544,2625,39837,148,-72.63,-94.36
Delhi,Jantar Mantar,203197,6516,76108,230,-62.54,-96.47
Delhi,Safdarjung Tomb,72938,15977,56776,392,-22.16,-97.55
Delhi,Kotla Feroz Shah,89397,810,27763,106,-68.94,-86.91
Delhi,Purana Qila,662300,5493,200846,936,-69.67,-82.96
Delhi,Total,6158331,581350,1347436,8832,-78.12,-98.48
Guwahati,Ahom Raja's Palace,44700,175,25443,69,-43.08,-60.57
Guwahati,"Kareghar of Ahom Kings, Sibasagar",119912,577,54595,93,-54.47,-83.88
Guwahati,"Ranghar Pavillion, Jaisagar",69063,546,33939,75,-50.86,-86.26
Guwahati,Bishnudol,21062,118,2921,0,-86.13,-100
Guwahati,"Group of four MaidansCharaideo, Sibasagar",23111,141,19866,72,-14.04,-48.94
Guwahati,Total,277848,1557,136764,309,-50.78,-80.15
Goa,Upper Fort Aguada,837898,8104,379726,340,-54.68,-95.8
Goa,Total,837898,8104,379726,340,-54.68,-95.8
Hyderabad,Charminar,1151933,7803,297548,182,-74.17,-97.67
Hyderabad,Golconda,1630419,20572,527096,912,-67.67,-95.57
Hyderabad,Warangal,92690,277,64339,54,-30.59,-80.51
Hyderabad,Total,2875042,28652,888983,1148,-69.08,-95.99
Jaipur,Ancient Site Bhangarh,190833,1893,53946,85,-71.73,-95.51
Jaipur,Baori at Abhaneri,66821,85732,44284,115,-33.73,-99.87
Jaipur,Deeg Bhawan,28510,1067,12772,30,-55.2,-97.19
Jaipur,Total,286164,88692,111002,230,-61.21,-99.74
Jodhpur,Chittaurgarh Fort,565133,15188,223328,206,-60.48,-98.64
Jodhpur,Kumbhalgarh Fort,495276,11208,203050,208,-59,-98.14
Jodhpur,Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,241299,98,131764,141,-45.39,43.88
Jodhpur,Total,1301708,26494,558142,555,-57.12,-97.91
Leh,Ancient Palace Leh,56639,5671,2047,6,-96.39,-99.89
Leh,Total,56639,5671,2047,6,-96.39,-99.89
Patna,"Remains of Patliputra Site of Mauryan Palace, Kumrahar",109962,207,25834,25876,-76.51,12400.48
Patna,"Ancient site of Vaishali, Kolhua",89631,12962,49207,49213,-45.1,279.67
Patna,Excavated Remains at Nalanda,437506,26903,105748,105816,-75.83,293.32
Patna,Ancient Site of Vikramshila Antichak,65573,436,27583,27583,-57.94,6226.38
Patna,Sher Shah's Tomb,208177,153,95051,95133,-54.34,62078.43
Patna,Total,910849,40661,303423,303621,-66.69,646.71
Raipur,Temple of Laxman and Old sites including sculptures sirpur,63759,96,44742,44746,-29.83,46510.42
Raipur,Total,63759,96,44742,44746,-29.83,46510.42
Shimla,"Ruined Fort, kangra",91306,1758,100454,252,10.02,-85.67
Shimla,Rock-cut Temples and Sculptures,73439,1709,53123,209,-27.66,-87.77
Shimla,Total,164745,3467,153577,461,-6.78,-86.7
Srinagar,"Palace Complex at Ramnagar, Distt. Udhampur",6610,0,2129,0,-67.79,NA
Srinagar,"Avantiswamin Temple, Avantipur, District Pulwama",9939,32,5706,8,-42.59,-75
Srinagar,"Group of Temples at kiramchi, District Udhampur",5731,4,5816,0,1.48,-100
Srinagar,Total,22280,36,13651,8,-38.73,-77.78
Amaravati,Amaravati mahastupa,8038,285,1864,0,-76.81,-100
Amaravati,Undavalli caves,109307,494,52924,89,-51.58,-81.98
Amaravati,Nagarjuna Kunda,19762,35,0,0,NA,NA
Amaravati,Chandragiri Monument,103489,109,51113,38,-50.61,-65.14
Amaravati,"Buddhist Remains on hill top at Guntupalli, W.G.District",22353,85,10219,10,-54.28,-88.24
Amaravati,Total,262949,1008,116120,137,-55.84,-86.41
Grand Total,Grand Total,43607075,2756561,13153076,415859,-69.84,-84.91
